reserved;object;attribute;briefDescription;displayFormat;definition
;relativeDensity;;;NUMERIC;
;calorificValueRef;;;ENUMERATION;_CALORIFIC_REF
;QmPerSim;;;NUMERIC;
;QmPercentage;;;NUMERIC;
;QAlmRange;loLim;;NUMERIC;
;QAlmRange;hiLim;;NUMERIC;
;QnPartialDampedObj;unit;;ENUMERATION;_T_VOLUME_FLOW
;QnPartialDampedObj;type;;;
;QnPartialDampedObj;value_0;;NUMERIC;
;QnPartialDampedObj;value_1;;;
;QnPartialDampedObj;value_2;;;
;QnPartialDampedObj;value_3;;;
;QnPartialDampedObj;value_4;;;
;QnPartialDampedObj;value_5;;;
;QnPartialDampedObj;value_6;;;
;QnPartialDampedObj;value_7;;;
;QnPartialDampedObj;value_8;;;
;QnPartialDampedObj;value_9;;;
;QnPartialDampedObj;value_10;;;
;QnPartialDampedObj;value_11;;;
;QnPartialDampedObj;value_12;;;
;QnPartialDampedObj;value_13;;;
;QnPartialDampedObj;value_14;;;
;QnPartialDampedObj;value_15;;;
;QnPartialDampedObj;value_16;;;
;QnPartialDampedObj;value_17;;;
;QnPartialDampedObj;value_18;;;
;QnPartialDampedObj;value_19;;;
;QnPartialDampedObj;value_20;;;
;QnPartialObj;unit;;ENUMERATION;_T_VOLUME_FLOW
;QnPartialObj;type;;;
;QnPartialObj;value_0;;NUMERIC;
;QnPartialObj;value_1;;;
;QnPartialObj;value_2;;;
;QnPartialObj;value_3;;;
;QnPartialObj;value_4;;;
;QnPartialObj;value_5;;;
;QnPartialObj;value_6;;;
;QnPartialObj;value_7;;;
;QnPartialObj;value_8;;;
;QnPartialObj;value_9;;;
;QnPartialObj;value_10;;;
;QnPartialObj;value_11;;;
;QnPartialObj;value_12;;;
;QnPartialObj;value_13;;;
;QnPartialObj;value_14;;;
;QnPartialObj;value_15;;;
;QnPartialObj;value_16;;;
;QnPartialObj;value_17;;;
;QnPartialObj;value_18;;;
;QnPartialObj;value_19;;;
;QnPartialObj;value_20;;;
;QnPartialPercentage;;;NUMERIC;
;QvPartialObj;unit;;ENUMERATION;_T_VOLUME_FLOW
;QvPartialObj;type;;;
;QvPartialObj;value_0;;NUMERIC;
;QvPartialObj;value_1;;;
;QvPartialObj;value_2;;;
;QvPartialObj;value_3;;;
;QvPartialObj;value_4;;;
;QvPartialObj;value_5;;;
;QvPartialObj;value_6;;;
;QvPartialObj;value_7;;;
;QvPartialObj;value_8;;;
;QvPartialObj;value_9;;;
;QvPartialObj;value_10;;;
;QvPartialObj;value_11;;;
;QvPartialObj;value_12;;;
;QvPartialObj;value_13;;;
;QvPartialObj;value_14;;;
;QvPartialObj;value_15;;;
;QvPartialObj;value_16;;;
;QvPartialObj;value_17;;;
;QvPartialObj;value_18;;;
;QvPartialObj;value_19;;;
;QvPartialObj;value_20;;;
;QvPartialDampedObj;unit;;ENUMERATION;_T_VOLUME_FLOW
;QvPartialDampedObj;type;;;
;QvPartialDampedObj;value_0;;NUMERIC;
;QvPartialDampedObj;value_1;;;
;QvPartialDampedObj;value_2;;;
;QvPartialDampedObj;value_3;;;
;QvPartialDampedObj;value_4;;;
;QvPartialDampedObj;value_5;;;
;QvPartialDampedObj;value_6;;;
;QvPartialDampedObj;value_7;;;
;QvPartialDampedObj;value_8;;;
;QvPartialDampedObj;value_9;;;
;QvPartialDampedObj;value_10;;;
;QvPartialDampedObj;value_11;;;
;QvPartialDampedObj;value_12;;;
;QvPartialDampedObj;value_13;;;
;QvPartialDampedObj;value_14;;;
;QvPartialDampedObj;value_15;;;
;QvPartialDampedObj;value_16;;;
;QvPartialDampedObj;value_17;;;
