reserved;Target Subsystem Index;Object Index;Attribute Index;Bas;Std;Adv;Svc
##Module ARM_Gen;;;;;;;
##ModuleRevision 0x010101;;;;;;;
##FileRevision 2;;;;;;;
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;4;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;5;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;6;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;7;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;8;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;9;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;10;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;11;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;12;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;13;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;14;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;15;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;16;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;17;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;18;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;19;RO;RO;RO;RO
;CDT_IDX;CDT_IDX_frontendOperationHour;0;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranType;0;RO;RO;RO;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranType;1;RO;RO;RO;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranType;2;RO;RO;RO;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranType;3;RO;RO;RO;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranType;4;RO;RO;RO;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranType;5;RO;RO;RO;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranType;6;RO;RO;RO;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranType;7;RO;RO;RO;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranType;8;RO;RO;RO;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranType;9;RO;RO;RO;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranType;10;RO;RO;RO;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranType;11;RO;RO;RO;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranID;0;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranID;1;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranID;2;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranID;3;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranID;4;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranID;5;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranID;6;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranID;7;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranSapErpNo;0;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranSapErpNo;1;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranSapErpNo;2;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranSapErpNo;3;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranSapErpNo;4;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranSapErpNo;5;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranSapErpNo;6;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranSapErpNo;7;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranSapErpNo;8;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranSapErpNo;9;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranSapErpNo;10;RO;RO;RO;RO
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_tranSapErpNo;11;RO;RO;RO;RO
