reserved;definition;name;value;briefDescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 24;;;;
Copyright ABB 2011.;;;;
All rights reserved. Reproduction modification;;;;
use or disclosure to third parties without express;;;;
authority is forbidden.;;;;
!;;;;
!;;;;
";;;;
";;;;
;T_HART_UNIT_TYPES;UM_T_ENERGY_DENSITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ELECTRIC_FIELD_STRENGTH;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ELECTRIC_CHARGE_DENSITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ELECTRIC_FLUX_DENSITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_PERMITTIVITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_PERMEABILITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_MOLAR_ENERGY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_MOLAR_ENTROPY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_EXPOSURE;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ABSORBED_DOSE_RATE;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_RADIANT_INTENSITY;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_RADIANCE;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_CATALYTIC_CONCENTRATION;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_VISCOSITY;74;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_VOLUME_PER_VOLUME;88;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_ANALYTICAL;81;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_USER_UNIT_GROUP;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_FLOWPIPE;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNIT_TYPES;UM_T_NORM_VOLUME;HART_UM_T_NOT_CLASSIFIED;added20110426
;T_HART_UNIT_TYPES;UM_T_NORMAL_VOLUME_FLOW;HART_UM_T_NOT_CLASSIFIED;added20110426
;T_HART_UNIT_TYPES;UM_T_UNKNOWN_UNIT_GROUP;HART_UM_T_NOT_CLASSIFIED;Device Variable Classification introduced HART6
;T_HART_UNITS;UM_UKNOWN_UNIT;252;Global
;T_HART_UNITS;UM_METER_PER_SECOND;21;Velocity
;T_HART_UNITS;UM_MILLIMETER_PER_SECOND;NOT_SUPPORTED;Velocity TODO custom-unit
;T_HART_UNITS;UM_MILLIMETER_PER_MINUTE;NOT_SUPPORTED;Velocity
;T_HART_UNITS;UM_METER_PER_HOUR;120;Velocity
;T_HART_UNITS;UM_KILOMETER_PER_HOUR;NOT_SUPPORTED;Velocity
;T_HART_UNITS;UM_INCH_PER_SECOND;114;Velocity
;T_HART_UNITS;UM_INCH_PER_MINUTE;115;Velocity
;T_HART_UNITS;UM_INCH_PER_HOUR;NOT_SUPPORTED;Velocity
;T_HART_UNITS;UM_FEET_PER_SECOND;20;Velocity
;T_HART_UNITS;UM_FEET_PER_MINUTE;116;Velocity
;T_HART_UNITS;UM_FEET_PER_HOUR;NOT_SUPPORTED;Velocity
