reserved;Target Subsystem Name;Target Object Name;Target Attribute Index;Bas;Std;Adv;Svc
##Module arm;;;;;;;
##ModuleRevision 01;;;;;;;
##FileRevision 122;;;;;;;
;MODBUS_IDX;MODBUS_IDX_mbDiagHis;MODBUS_DIAG_HIS_diagHisByte5Bit7;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_diagDeviceStatus;0;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_diagDeviceStatus;1;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_diagDeviceStatus;2;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_diagDeviceStatus;3;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_diagDeviceStatus;4;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_diagDeviceStatus;5;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_diagHistory;0;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_diagHistory;1;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_diagHistory;2;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_diagHistory;3;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_diagHistory;4;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_diagHistory;5;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_QDPercentage;0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_QvDampedObj;UOM_PF_value_0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_QvPercentage;0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QvPartialDampedObj;UOM_PF_value_0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QmDampedObj;UOM_PF_value_0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QnDampedObj;UOM_PF_value_0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QnPartialDampedObj;UOM_PF_value_0;RO;RW;RW;RW
;MVM_IDX;MVM_IDX_QpDampedObj;UOM_PF_value_0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_temperature_Damped_Obj;UOM_PF_value_0;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvPressureObj;UOM_PF_value_0;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvContent;0;RO;RW;RW;RW
;MAPPER_IDX;MAPPER_IDX_dvDensityObj;UOM_PF_value_0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_frequency_Damped_Obj;UOM_PF_value_0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_temperatureSensor_Obj;UOM_PF_value_0;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totDispQv;TOTDISP_value;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totDispQn;TOTDISP_value;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totDispQm;TOTDISP_value;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totDispQvPartial;TOTDISP_value;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totDispQnPartial;TOTDISP_value;RO;RW;RW;RW
;TOTALIZER_IDX;TOTALIZER_IDX_totDispEnergy;TOTDISP_value;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorID;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorSapErpNo;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorCalDate;WHOLE_OBJECT;RO;RW;RW;RW
